date,laces,blouses
1-Jan-94,6368.8,15013
1-Feb-94,8123.2,12413
1-Mar-94,7807.2,12752
1-Apr-94,7543.2,16222
1-May-94,7242,13622
1-Jun-94,6486.8,13193
1-Jul-94,5654.3,17201
1-Aug-94,6584.5,9455
1-Sep-94,5635.2,11649
1-Oct-94,7567.1,15269
1-Nov-94,6670.1,10703
1-Dec-94,6311.1,10623
1-Jan-95,7986.6,14171
1-Feb-95,8959.2,11414
1-Mar-95,8414.2,12325
1-Apr-95,8415.4,15902
1-May-95,8335.5,13305
1-Jun-95,7667.2,13424
1-Jul-95,5895.3,18838
1-Aug-95,7458.2,10390
1-Sep-95,7938.5,12780
1-Oct-95,9087.1,17524
1-Nov-95,6065.7,13328
1-Dec-95,7215.9,13049
1-Jan-96,8788,17036
1-Feb-96,8225.7,14738
1-Mar-96,7771.9,15529
1-Apr-96,7525.2,19901
1-May-96,8327.3,15086
1-Jun-96,7436.2,17221
1-Jul-96,5737.6,23195
1-Aug-96,7666.5,12999
1-Sep-96,7321.1,15828
1-Oct-96,8003.2,22800
1-Nov-96,6161.3,15402
1-Dec-96,5388.9,18266
1-Jan-97,6707.8,22372
1-Feb-97,7860.8,19721
1-Mar-97,8214.9,18434
1-Apr-97,8055.6,23590
1-May-97,7533.1,19490
1-Jun-97,7257.3,18744
1-Jul-97,5501.5,24860
1-Aug-97,7100.7,12778
1-Sep-97,6413.1,16452
1-Oct-97,7373.7,25160
1-Nov-97,6579.3,16337
1-Dec-97,6046.2,18278
1-Jan-98,7249.8,22451
1-Feb-98,8594.4,18805
1-Mar-98,8242.9,19275
1-Apr-98,8006,26609
1-May-98,8719.9,21234
1-Jun-98,7443.8,22179
1-Jul-98,7053.2,29380
1-Aug-98,8802.5,16242
1-Sep-98,7570.2,20017
